nct_id,drug_name,is_combination,n_drugs_in_trial
NCT06099366,Cytarabine Intrathecal Regimen,True,11
NCT06099366,Intrathecal Methotrexate/Methotrexate/Pegaspargase/Vincristine Regimen,True,11
NCT06099366,Mercaptopurine,True,11
NCT06099366,Methotrexate Intrathecal Regimen,True,11
NCT06099366,Cyclophosphamide,True,11
NCT06099366,Cytarabine,True,11
NCT06099366,Methotrexate,True,11
NCT06099366,Doxorubicin,True,11
NCT05679921,Pembrolizumab,True,2
NCT05679921,Pazopanib,True,2
NCT05735028,Centipeda minima Decoction,True,2
NCT05735028,PD-1/PD-L1 inhibitor,True,2
NCT06329999,Mitoxantrone liposomal,True,5
NCT06329999,Cytarabine,True,5
NCT06329999,Filgrastim,True,5
NCT06329999,Vincristine,True,5
NCT06329999,Hematopoietic Cell Transplantation,True,5
NCT06208462,Adebrelimab,True,4
NCT06208462,Lenvatinib,True,4
NCT06208462,Gemcitabine,True,4
NCT06208462,Oxaliplatin,True,4
NCT05967182,Pembrolizumab,True,3
NCT05967182,Gemcitabine,True,3
NCT05967182,Cisplatin,True,3
NCT06440811,SOX,True,3
NCT06440811,PD-1 Inhibitor,True,3
NCT06440811,FLOT,True,3
NCT05567770,Actinium Ac 225 Rosopatamab Tetraxetan,True,2
NCT05567770,Stereotactic Body Radiation Therapy,True,2
NCT06077760,V 940,True,3
NCT06077760,Pembrolizumab,True,3
NCT06077760,Placebo Control,True,3
NCT06132438,PEP-CMV Vaccine,False,1
NCT05995041,CLL-1/CD33/CD38/CD123-specific universal CAR- T cells (Shenzhen Geno-Immune Medical Institute),False,1
NCT06017323,Gemcitabine,True,3
NCT06017323,Nab-paclitaxel,True,3
NCT06017323,Proglumide,True,3
NCT06109207,Camrelizumab,True,2
NCT06109207,Dalpiciclib,True,2
NCT06081595,Fuzuloparib,True,2
NCT06081595,Rivoceranib,True,2
NCT06109064,Venetoclax,True,3
NCT06109064,Decitabine,True,3
NCT06109064,Azacitidine,True,3
NCT06008119,Tunlametinib,True,4
NCT06008119,Vemurafenib,True,4
NCT06008119,Bevacizumab,True,4
NCT06008119,Cetuximab,True,4
NCT06321887,Ferrous fumarate,False,1
NCT05863195,Bevacizumab,True,12
NCT05863195,Cetuximab,True,12
NCT05863195,Computed Tomography,True,12
NCT05863195,Floxuridine,True,12
NCT05863195,Fluorouracil,True,12
NCT05863195,Ganciclovir,True,12
NCT05863195,Intrahepatic Infusion Procedure,True,12
NCT05863195,Irinotecan,True,12
NCT05863195,Folinic acid,True,12
NCT05863195,Oxaliplatin,True,12
NCT05863195,Panitumumab,True,12
NCT05863195,Single Photon Emission Computed Tomography,True,12
NCT05318469,Ivermectin,True,2
NCT05318469,Balstilimab,True,2
NCT06080893,Ferric carboxymaltose,False,1
NCT05888844,INCB 099280,False,1
NCT06092957,Cisplatin,True,5
NCT06092957,Camrelizumab,True,5
NCT06092957,Toripalimab,True,5
NCT06092957,Adebrelimab,True,5
NCT06092957,Intensity-Modulated Radiation Therapy,True,5
NCT06045689,Luspatercept,False,1
NCT05786573,Obexelimab,False,1
NCT06057168,Gadopiclenol,True,2
NCT06057168,Gadoterate-meglumine,True,2
NCT06015568,MCLA-129,True,2
NCT06015568,Befotertinib,True,2
NCT06020833,Roxadustat,True,2
NCT06020833,Tretinoin,True,2
NCT06809426,[177Lu]-LNC1011,False,1
NCT03529448,Dronabinol,True,3
NCT03529448,Temozolomide,True,3
NCT03529448,Radiation Therapy,True,3
NCT05907304,Naporafenib,True,2
NCT05907304,Trametinib,True,2
NCT05918250,MRNA 2736,False,1
NCT05453396,Loncastuximab tesirine,False,1
NCT05553041,18F-Fluciclovine,True,3
